seed,method,technicians,opening,work_mean,overtime_mean,overtime_p95,overtime_share_of_tail,crossing_frac,workload_gini,workload_mad,overtime_gini,max_tech_overtime,arch_size,arch_spread_f1,arch_spread_f2,arch_collinearity,p95,f3,hv,mean_buffer,mean_pack
23,C-R-EoH,6.0,240.0,560.29588,11.53443,51.50332,0.45311,0.0,0.02409,3.48721,0.26999,3.28931,6.0,1.0,1.0,0.99821,918.17936,51.54543,1.1025,0.0,0.86349
24,Classical heuristic,6.0,240.0,563.77303,103.35788,258.34133,0.57837,0.5,0.19381,29.961,0.44633,25.33409,1.0,0.0,0.0,nan,1175.12468,126.66757,0.14541,0.0,1.0
24,Deterministic AHD,5.0,200.0,563.77303,105.50193,265.17502,0.58945,0.8,0.03594,6.52787,0.3962,23.56989,1.0,0.0,0.0,nan,1141.95837,129.52736,0.33959,0.0,1.01028
24,MO AHD (no fuzzy risk),7.0,280.0,563.77303,4.08789,22.22209,0.22937,0.0,0.04855,5.98005,0.12657,1.33171,1.0,0.0,0.0,nan,978.30632,59.72846,1.02555,0.37386,0.8882
24,C-R-EoH,7.0,280.0,563.77303,4.08789,22.22209,0.22937,0.0,0.04855,5.98005,0.12657,1.33171,7.0,0.43237,0.35613,0.80053,978.30632,59.72846,1.0915,0.37386,0.8882
25,Classical heuristic,5.0,200.0,480.73965,35.03509,114.55783,0.53286,0.0,0.07232,11.45697,0.30963,9.96902,1.0,0.0,0.0,nan,865.33137,72.33202,0.58672,0.0,1.0
25,Deterministic AHD,5.0,200.0,480.73965,19.3654,80.47778,0.47264,0.0,0.02675,3.90841,0.2436,5.5423,1.0,0.0,0.0,nan,831.17802,59.37087,0.93291,0.0,0.94382
25,MO AHD (no fuzzy risk),7.0,280.0,480.73965,0.0,0.0,0.0,0.0,0.03182,3.34688,0.0,0.0,3.0,0.43487,0.31227,0.70494,830.6716,36.64245,1.08233,0.12253,0.69551
25,C-R-EoH,6.0,240.0,480.73965,0.01815,0.0,-0.00024,0.0,0.02635,3.33293,0.02083,0.0121,3.0,0.43487,0.31227,0.70494,790.6716,36.66242,1.08233,0.3533,0.86475
26,Classical heuristic,6.0,240.0,561.97588,80.56635,263.59828,0.56184,0.0,0.15986,24.75069,0.44581,20.28479,1.0,0.0,0.0,nan,1209.95443,128.10875,0.15739,0.0,1.0
26,Deterministic AHD,5.0,200.0,561.97588,104.90648,309.53423,0.58827,1.0,0.03506,6.22179,0.33396,22.52315,1.0,0.0,0.0,nan,1215.89039,136.99867,0.19764,0.0,1.05079
26,MO AHD (no fuzzy risk),7.0,280.0,561.97588,6.32905,34.74761,0.25101,0.0,0.03753,4.72951,0.15885,2.07595,2.0,0.0939,0.2185,nan,1021.10377,65.76932,1.08198,0.0,0.73894
26,C-R-EoH,7.0,280.0,561.97588,6.32905,34.74761,0.25101,0.0,0.03753,4.72951,0.15885,2.07595,4.0,1.0,0.85944,0.92083,1021.10377,65.76932,1.08198,0.0,0.73894
27,Classical heuristic,5.0,200.0,525.416,56.02909,138.82298,0.569,0.4,0.02911,4.9767,0.29042,13.32955,1.0,0.0,0.0,nan,931.37163,85.97658,0.73065,0.0,1.0
27,Deterministic AHD,5.0,200.0,525.416,55.00545,138.82298,0.5709,0.2,0.02545,4.17604,0.27983,12.62093,1.0,0.0,0.0,nan,931.37163,86.6604,0.73336,0.0,0.99234
27,MO AHD (no fuzzy risk),6.0,240.0,525.416,5.37022,16.48661,0.34353,0.0,0.02613,3.5152,0.25127,2.37859,1.0,0.0,0.0,nan,848.06608,46.13103,1.08205,0.0,0.82222
27,C-R-EoH,6.0,240.0,525.416,4.60342,12.7844,0.34264,0.0,0.03681,5.01374,0.26505,1.69066,5.0,0.3203,0.29223,0.9976,845.18176,44.85369,1.1025,0.74401,1.08471
28,Classical heuristic,6.0,240.0,600.33138,111.20162,323.37336,0.57072,0.0,0.12522,20.0534,0.41757,23.83269,1.0,0.0,0.0,nan,1332.94643,190.81741,0.23975,0.0,1.0
28,Deterministic AHD,5.0,200.0,600.33138,159.67233,404.35961,0.59272,1.0,0.03576,6.9544,0.2965,32.42085,1.0,0.0,0.0,nan,1373.93269,211.31585,0.12509,0.03923,1.10233
28,MO AHD (no fuzzy risk),6.0,240.0,600.33138,73.95965,254.35961,0.53315,0.0,0.04543,6.65104,0.33133,16.30863,1.0,0.0,0.0,nan,1263.93269,163.3083,1.02131,0.25308,1.0399
28,C-R-EoH,8.0,320.0,600.33138,3.7016,21.48036,0.18334,0.0,0.05587,6.30649,0.15298,1.18303,5.0,1.0,0.60372,0.96852,1099.35167,91.0582,1.09475,0.49089,0.90099
29,Classical heuristic,5.0,200.0,510.12809,31.40496,81.10006,0.54446,0.2,0.0231,3.79163,0.35678,7.88646,1.0,0.0,0.0,nan,835.16676,50.55083,0.77238,0.0,1.0
29,Deterministic AHD,5.0,200.0,510.12809,29.14105,81.10006,0.55487,0.0,0.01715,2.81835,0.30474,7.25793,1.0,0.0,0.0,nan,835.16676,51.07949,0.79825,0.00582,0.98479
29,MO AHD (no fuzzy risk),5.0,200.0,510.12809,29.14105,81.10006,0.55487,0.0,0.01715,2.81835,0.30474,7.25793,1.0,0.0,0.0,nan,835.16676,51.07949,0.79825,0.00582,0.98479
29,C-R-EoH,6.0,240.0,510.12809,0.0,0.0,0.0,0.0,0.02047,2.68774,0.0,0.0,6.0,1.0,0.82484,0.84976,793.15792,25.20755,1.06787,0.27623,0.88494
