seed,method,f1,f2,f3,p95,hv,ood_degradation,lam,slack,balance,scenario_costs
12,Classical heuristic,692.2352201526289,728.3944481478751,24.872756335573612,737.8621095679489,0.8554183754381746,21.20568693942082,1.0,0.0,0.0,663.089;686.832;731.614;731.614;713.282;713.282;651.216;688.687;655.174;687.751;686.573;670.285;652.737;663.089;663.089;663.089;658.160;688.043;713.395;715.678;745.956;628.205;718.979;694.604;754.620;698.988;649.805;672.903;737.436;733.789;713.312;691.772;704.565;680.915;664.322;725.174;692.175;675.223;690.820;719.165
12,Deterministic AHD,677.3311361541004,711.8266620125329,23.57589341999692,723.9920948193775,1.1025,20.883271991498805,1.2429057454965504,0.0009994380345628234,0.030859701742024216,649.191;671.331;713.445;713.445;696.341;696.341;641.195;672.654;643.861;676.192;671.661;655.495;638.561;649.191;649.191;649.191;647.130;671.361;695.331;696.061;726.976;613.967;702.191;676.154;736.585;683.521;638.282;658.076;723.835;715.670;700.153;676.757;690.063;668.996;648.353;711.951;678.498;662.976;678.083;704.986
12,MO AHD (no fuzzy risk),750.3902285570155,789.0777238610766,25.77784845273511,797.9827985334579,1.1025,21.17275905042821,0.7200125064858972,0.12881033174526685,0.0,718.487;739.279;795.105;795.105;763.216;763.216;718.354;737.490;718.398;753.684;745.470;727.826;706.042;718.487;718.487;718.487;726.208;735.134;766.836;771.984;811.273;680.194;782.911;749.524;812.943;758.967;707.461;726.266;796.825;792.128;774.986;743.206;757.125;740.245;732.005;797.283;757.440;741.810;744.170;771.555
12,C-R-EoH,677.3311361541004,711.8266620125329,23.57589341999692,723.9920948193775,1.1025,20.883271991498805,1.2429057454965504,0.0009994380345628234,0.030859701742024216,649.191;671.331;713.445;713.445;696.341;696.341;641.195;672.654;643.861;676.192;671.661;655.495;638.561;649.191;649.191;649.191;647.130;671.361;695.331;696.061;726.976;613.967;702.191;676.154;736.585;683.521;638.282;658.076;723.835;715.670;700.153;676.757;690.063;668.996;648.353;711.951;678.498;662.976;678.083;704.986
13,Classical heuristic,775.6464410523691,885.1935838427125,70.90768846776203,934.7115320945375,1.0230314252945707,42.08040202358339,1.0,0.0,0.0,693.512;801.605;1036.898;745.079;674.380;753.101;708.409;784.461;864.691;813.468;654.552;752.278;779.101;693.512;693.512;693.512;770.831;884.567;751.928;709.723;732.723;666.757;933.264;803.185;820.821;669.299;904.948;864.429;824.157;707.360;754.577;962.221;683.813;825.451;874.803;707.958;703.670;747.210;754.019;826.074
13,Deterministic AHD,768.896580283724,878.5700491964176,70.53924748210426,926.7998425563798,1.1025,41.910506312189554,1.1212529024888789,0.0,0.03747863180546286,686.504;774.601;1027.352;756.798;662.252;760.138;715.446;782.769;856.414;809.239;647.861;746.659;771.459;686.504;686.504;686.504;775.282;876.551;744.250;704.250;731.138;652.523;925.483;798.758;825.706;661.493;897.044;849.641;805.214;692.741;736.807;951.826;666.950;829.763;863.295;699.615;702.676;730.295;747.029;830.527
13,MO AHD (no fuzzy risk),807.5723674322015,934.2782173688438,83.06652965599547,988.2940174711011,1.1025,43.7614717773255,0.9660231522491105,0.0,0.0,714.090;780.189;1102.864;822.475;667.099;820.377;775.236;827.434;905.240;862.754;668.851;788.422;809.665;714.090;714.090;714.090;832.211;936.495;790.249;727.334;777.447;654.662;987.125;847.796;895.144;677.667;947.417;888.673;833.909;711.366;744.876;1010.501;684.234;891.111;898.488;724.954;745.993;746.999;775.750;885.527
13,C-R-EoH,768.896580283724,878.5700491964176,70.53924748210426,926.7998425563798,1.1025,41.910506312189554,1.1212529024888789,0.0,0.03747863180546286,686.504;774.601;1027.352;756.798;662.252;760.138;715.446;782.769;856.414;809.239;647.861;746.659;771.459;686.504;686.504;686.504;775.282;876.551;744.250;704.250;731.138;652.523;925.483;798.758;825.706;661.493;897.044;849.641;805.214;692.741;736.807;951.826;666.950;829.763;863.295;699.615;702.676;730.295;747.029;830.527
14,Classical heuristic,722.7218813597041,785.5733941128015,41.690243668079304,813.5452719398977,0.6559540446596299,32.99789123185275,1.0,0.0,0.0,675.367;793.272;824.767;728.253;662.331;748.421;675.380;685.346;724.349;632.870;688.728;700.961;712.717;675.367;675.367;675.367;787.170;716.123;717.984;740.139;731.360;752.813;732.721;686.401;737.992;713.045;754.772;779.174;639.301;812.955;628.528;794.499;706.851;803.734;676.210;830.365;744.939;676.388;736.222;730.327
14,Deterministic AHD,704.6136864568896,765.3019863609256,39.52763771865478,793.6365048602765,1.0852755529080207,32.604283305174256,1.300671965594615,0.03572794341827034,0.2512640408795367,659.575;768.979;811.362;684.400;664.397;711.583;662.775;660.967;715.018;613.759;676.167;680.875;697.522;659.575;659.575;659.575;756.674;691.011;699.973;711.658;715.338;740.406;724.300;669.597;706.676;687.316;729.310;758.139;632.259;792.931;612.198;769.903;699.770;780.508;659.054;807.037;744.074;675.993;714.122;720.194
