seed,variant,portfolio_size,f1,f2,f3,p95,hv,ood,nominal,portfolio,pack,buffer
18,No robustness buffer,5,853.1733,940.0647,56.4516,966.2765,1.0772,53.0684,800.5676,5,0.7597,0.0
18,No Pareto archive (scalarised),1,853.1733,940.0647,56.4516,966.2765,1.0247,53.0684,800.5676,1,0.7597,0.0
18,No alpha-cut ensemble (modal only),1,882.1831,1070.3211,123.0757,1130.9307,0.2998,72.8286,751.4189,1,1.0502,0.0
19,Full C-R-EoH,4,826.6384,908.6029,53.0301,936.4799,1.1015,40.3578,769.2578,4,1.0162,0.3626
19,No OWA risk objective,5,826.6384,908.6029,53.0301,936.4799,1.1015,40.3578,769.2578,5,1.0162,0.3626
19,No stability objective,2,851.7262,907.8289,38.4264,918.8093,1.1015,25.6928,809.2578,2,0.8361,0.1904
19,No robustness buffer,4,830.3032,914.2437,55.4014,943.8299,1.026,39.7383,769.2578,4,0.9285,0.0319
19,No Pareto archive (scalarised),1,826.6384,908.6029,53.0301,936.4799,1.0963,40.3578,769.2578,1,1.0162,0.3626
19,No alpha-cut ensemble (modal only),2,834.9109,927.8026,60.3041,959.4975,1.0667,39.1096,769.2578,2,0.9851,0.2026
20,Full C-R-EoH,4,741.1185,810.1667,47.627,840.8358,1.0994,54.8771,696.0347,4,0.9142,0.3844
20,No OWA risk objective,4,737.7446,862.8957,83.1356,933.9241,1.0994,70.4957,656.0347,4,0.9258,0.0
20,No stability objective,2,741.1185,810.1667,47.627,840.8358,1.0994,54.8771,696.0347,2,0.9142,0.3844
20,No robustness buffer,2,754.5471,850.0521,62.4443,907.6195,0.9202,60.8581,696.0347,2,0.861,0.0092
20,No Pareto archive (scalarised),1,741.1185,810.1667,47.627,840.8358,1.0878,54.8771,696.0347,1,0.9142,0.3844
20,No alpha-cut ensemble (modal only),10,737.9042,862.9604,83.2778,933.9241,0.8657,70.4588,656.0347,10,0.9425,0.0
21,Full C-R-EoH,7,791.633,866.3265,46.4516,913.0396,1.1025,56.8327,739.5753,7,0.918,0.213
21,No OWA risk objective,4,791.633,866.3265,46.4516,913.0396,1.1025,56.8327,739.5753,4,0.918,0.213
21,No stability objective,1,791.633,866.3265,46.4516,913.0396,1.1025,56.8327,739.5753,1,0.918,0.213
21,No robustness buffer,2,793.1774,869.579,47.3049,919.8151,1.0796,56.5273,739.5753,2,0.8537,0.0
21,No Pareto archive (scalarised),1,791.633,866.3265,46.4516,913.0396,1.1025,56.8327,739.5753,1,0.918,0.213
21,No alpha-cut ensemble (modal only),1,818.1408,949.61,84.5635,1015.8246,0.6174,65.1964,707.8681,1,1.0217,0.0
22,Full C-R-EoH,4,759.9983,810.8383,35.4406,836.5576,1.1025,46.1953,724.2811,4,0.9715,0.5063
22,No OWA risk objective,4,759.9983,810.8383,35.4406,836.5576,1.1025,46.1953,724.2811,4,0.9715,0.5063
22,No stability objective,1,759.9983,810.8383,35.4406,836.5576,1.1025,46.1953,724.2811,1,0.9715,0.5063
22,No robustness buffer,2,764.0984,823.5972,39.5407,862.1193,0.954,46.4601,724.2811,2,0.8536,0.0
22,No Pareto archive (scalarised),1,759.9983,810.8383,35.4406,836.5576,1.1025,46.1953,724.2811,1,0.9715,0.5063
22,No alpha-cut ensemble (modal only),6,765.6305,870.9702,71.6924,924.6194,0.5995,59.4871,684.2811,6,1.12,0.319
23,Full C-R-EoH,6,811.8303,889.555,51.5454,918.1794,1.1025,71.7737,749.1516,6,0.8635,0.0
23,No OWA risk objective,6,811.8303,889.555,51.5454,918.1794,1.1025,71.7737,749.1516,6,0.8635,0.0
23,No stability objective,1,811.8303,889.555,51.5454,918.1794,1.1025,71.7737,749.1516,1,0.8635,0.0
23,No robustness buffer,3,811.8303,889.555,51.5454,918.1794,1.1025,71.7737,749.1516,3,0.8635,0.0
23,No Pareto archive (scalarised),1,811.8303,889.555,51.5454,918.1794,1.1025,71.7737,749.1516,1,0.8635,0.0
23,No alpha-cut ensemble (modal only),1,855.2018,988.5458,96.2138,1022.5568,0.7314,75.9246,723.3803,1,1.1144,0.1173
24,Full C-R-EoH,12,847.8609,938.3068,59.7285,978.3063,1.0915,63.7077,775.4781,12,0.8882,0.3739
24,No OWA risk objective,9,832.3684,967.2798,83.2534,1036.3557,1.0914,79.97,735.4781,9,1.12,0.5316
